mark_id,student_id,class_name,gender,subject,test_name,date_taken,marks_obtained,total_marks,percentage,previous_subject_percentage,subject_average,overall_average,attendance_percentage,risk_label,class,current_score,attendance,overall_avg,subject_avg,instruction,guidance
,,,,Math,,,,,,,,,,subject_weakness,10B,58.0,87.0,83.0,,"Class: 10B, Subject: Math, Score: 58%, Attendance: 87%, Overall avg: 83%, Subject avg: 58%.",Strong overall student (83% average) but Math is weak point (58%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated Math tutor immediately 2) Daily Math practice (minimum 45 minutes) 3) Group sessions focusing only on Math 4) Weekly Math-only assessments 5) Identify and fix conceptual gaps.
,,,,Chemistry,,,,,,,,,,subject_weakness,10B,51.0,88.0,77.0,,"Class: 10B, Subject: Chemistry, Score: 51%, Attendance: 88%, Overall avg: 77%, Subject avg: 51%.",Clear strength-weakness pattern: 77% average overall but only 51% in Chemistry. Chemistry is holding back potential. CORRECTIVE MEASURES: 1) Immediate Chemistry tutoring start 2) Master fundamentals first 3) Daily 20-30 min focused practice 4) Problem-solving competitions to build confidence 5) Re-test after 2 weeks.
,,,,Science,,,,,,,,,,gradual_decline,9B,,88.0,,,"Class: 9B, Subject: Science, Scores history: 84% → 75% → 69%. Attendance: 88%, Overall avg: 67%, Subject avg: 76%.",Science scores declining steadily: 84% → 75% → 69%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,Physics,,,,,,,,,,sudden_drop,8A,46.0,82.0,,,"Class: 8A, Subject: Physics, Score: 46% (previous: 74%), Attendance: 82%, Overall avg: 61%, Subject avg: 60%.",Sudden 28% drop in Physics (74% to 46%)! This steep decline needs urgent action. STEPS: 1) Diagnose exact weak topic 2) Daily 30-minute focused practice 3) Tutoring support this week 4) Re-test in 5 days to check improvement.
,,,,Science,,,,,,,,,,no_risk,10B,77.0,92.0,76.0,,"Class: 10B, Subject: Science, Score: 77%, Attendance: 92%, Overall avg: 76%.",✅ Science performing at 77% - exactly where we want to see! Strong foundations with 92% attendance. SUGGESTIONS: 1) Introduce enrichment materials 2) Problem-solving challenges 3) Subject clubs participation 4) Consider as career-path indicator.
,,,,History,,,,,,,,,,subject_weakness,8A,51.0,92.0,76.0,,"Class: 8A, Subject: History, Score: 51%, Attendance: 92%, Overall avg: 76%, Subject avg: 51%.",History underperformance (51%) despite strong overall 76% average indicates specific subject difficulty. ACTION: 1) Hire specialized History tutor 2) Practice 30+ problems weekly in weak topics 3) Concept map creation for each History chapter 4) Monitor confidence levels 5) Adjust learning method if needed.
,,,,English,,,,,,,,,,subject_weakness,9A,50.0,88.0,73.0,,"Class: 9A, Subject: English, Score: 50%, Attendance: 88%, Overall avg: 73%, Subject avg: 50%.",Student performing well (73%) except English (50% average). Need English specialization. PLAN: 1) One-on-one English coaching 2) Identify exact weak topics 3) Step-by-step problem solving practice 4) Visual learning materials for English 5) Weekly check-ins to track English improvement.
,,,,Science,,,,,,,,,,subject_weakness,9B,53.0,80.0,73.0,,"Class: 9B, Subject: Science, Score: 53%, Attendance: 80%, Overall avg: 73%, Subject avg: 53%.",Science underperformance (53%) despite strong overall 73% average indicates specific subject difficulty. ACTION: 1) Hire specialized Science tutor 2) Practice 30+ problems weekly in weak topics 3) Concept map creation for each Science chapter 4) Monitor confidence levels 5) Adjust learning method if needed.
,,,,Chemistry,,,,,,,,,,gradual_decline,10B,,75.0,,,"Class: 10B, Subject: Chemistry, Scores history: 80% → 68% → 63%. Attendance: 75%, Overall avg: 69%, Subject avg: 70%.",3-test Chemistry decline pattern: 80% → 68% → 63%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
,,,,Physics,,,,,,,,,,no_risk,10A,76.0,90.0,80.0,,"Class: 10A, Subject: Physics, Score: 76%, Attendance: 90%, Overall avg: 80%.",✅ Outstanding Physics achievement (76%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
,,,,Chemistry,,,,,,,,,,no_risk,8B,94.0,88.0,89.0,,"Class: 8B, Subject: Chemistry, Score: 94%, Attendance: 88%, Overall avg: 89%.",✅ Strong consistent Chemistry performance (94%). Attendance excellent (88%). Continue current strategy! NEXT: 1) Advanced problem-solving practice 2) Subject competitions participation 3) Higher-order thinking activities 4) Consider this as strong subject for future focus.
,,,,History,,,,,,,,,,subject_weakness,10B,59.0,78.0,87.0,,"Class: 10B, Subject: History, Score: 59%, Attendance: 78%, Overall avg: 87%, Subject avg: 59%.",Student performing well (87%) except History (59% average). Need History specialization. PLAN: 1) One-on-one History coaching 2) Identify exact weak topics 3) Step-by-step problem solving practice 4) Visual learning materials for History 5) Weekly check-ins to track History improvement.
,,,,Social Studies,,,,,,,,,,gradual_decline,9A,,89.0,,,"Class: 9A, Subject: Social Studies, Scores history: 88% → 82% → 72%. Attendance: 89%, Overall avg: 65%, Subject avg: 80%.",Social Studies scores declining steadily: 88% → 82% → 72%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,Physics,,,,,,,,,,no_risk,9B,75.0,94.0,76.0,,"Class: 9B, Subject: Physics, Score: 75%, Attendance: 94%, Overall avg: 76%.",✅ Strong consistent Physics performance (75%). Attendance excellent (94%). Continue current strategy! NEXT: 1) Advanced problem-solving practice 2) Subject competitions participation 3) Higher-order thinking activities 4) Consider this as strong subject for future focus.
,,,,Chemistry,,,,,,,,,,no_risk,8A,84.0,82.0,88.0,,"Class: 8A, Subject: Chemistry, Score: 84%, Attendance: 82%, Overall avg: 88%.",✅ Excellent performance in Chemistry (84%). Keep up strong work! RECOMMENDATIONS: 1) Introduce advanced challenge problems 2) Expand to Olympic-level content 3) Peer tutoring for struggling classmates 4) Consider subject specialization for competitive exams.
,,,,History,,,,,,,,,,gradual_decline,8B,,90.0,,,"Class: 8B, Subject: History, Scores history: 87% → 79% → 67%. Attendance: 90%, Overall avg: 78%, Subject avg: 77%.",History scores declining steadily: 87% → 79% → 67%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,English,,,,,,,,,,gradual_decline,9A,,70.0,,,"Class: 9A, Subject: English, Scores history: 91% → 80% → 70%. Attendance: 70%, Overall avg: 80%, Subject avg: 80%.",3-test English decline pattern: 91% → 80% → 70%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
,,,,Physics,,,,,,,,,,sudden_drop,10B,63.0,93.0,,,"Class: 10B, Subject: Physics, Score: 63% (previous: 81%), Attendance: 93%, Overall avg: 64%, Subject avg: 72%.",Amit's Physics dropped 18 points suddenly (81% → 63%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,Math,,,,,,,,,,gradual_decline,10B,,62.0,,,"Class: 10B, Subject: Math, Scores history: 76% → 69% → 63%. Attendance: 62%, Overall avg: 75%, Subject avg: 69%.","Math performance declining (76% → 69% → 63%). With 62% attendance, need to identify barriers. SOLUTION: 1) Review lecture notes missed (if attendance issue) 2) Intensive tutoring 3) Practice past papers 4) Check if personal/health issues affecting study."
,,,,English,,,,,,,,,,gradual_decline,8A,,88.0,,,"Class: 8A, Subject: English, Scores history: 91% → 83% → 76%. Attendance: 88%, Overall avg: 88%, Subject avg: 83%.",Gradual English decline detected: 91% → 83% → 76%. Pattern shows consistent downward trend across 3 tests. ACTION: 1) Root cause analysis (fatigue? difficult content?) 2) Stop decline immediately through targeted practice 3) Weekly mini-tests to track recovery 4) Adjust study methods if current approach failing.
,,,,English,,,,,,,,,,gradual_decline,10B,,61.0,,,"Class: 10B, Subject: English, Scores history: 92% → 83% → 77%. Attendance: 61%, Overall avg: 70%, Subject avg: 84%.",Gradual English decline detected: 92% → 83% → 77%. Pattern shows consistent downward trend across 3 tests. ACTION: 1) Root cause analysis (fatigue? difficult content?) 2) Stop decline immediately through targeted practice 3) Weekly mini-tests to track recovery 4) Adjust study methods if current approach failing.
,,,,Biology,,,,,,,,,,sudden_drop,10A,59.0,81.0,,,"Class: 10A, Subject: Biology, Score: 59% (previous: 94%), Attendance: 81%, Overall avg: 75%, Subject avg: 76%.",Critical alert: Biology score plummeted (35% drop). Attendance is 81% - could be factor. MUST DO: 1) Parent-teacher meeting if attendance low 2) One-on-one tutoring immediately 3) Catch-up material and daily practice 4) Weekly follow-ups to ensure recovery.
,,,,Physics,,,,,,,,,,subject_weakness,8B,56.0,76.0,90.0,,"Class: 8B, Subject: Physics, Score: 56%, Attendance: 76%, Overall avg: 90%, Subject avg: 56%.",Strong overall student (90% average) but Physics is weak point (56%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated Physics tutor immediately 2) Daily Physics practice (minimum 45 minutes) 3) Group sessions focusing only on Physics 4) Weekly Physics-only assessments 5) Identify and fix conceptual gaps.
,,,,Biology,,,,,,,,,,no_risk,8A,90.0,84.0,91.0,,"Class: 8A, Subject: Biology, Score: 90%, Attendance: 84%, Overall avg: 91%.",✅ Strong consistent Biology performance (90%). Attendance excellent (84%). Continue current strategy! NEXT: 1) Advanced problem-solving practice 2) Subject competitions participation 3) Higher-order thinking activities 4) Consider this as strong subject for future focus.
,,,,Chemistry,,,,,,,,,,subject_weakness,10B,51.0,91.0,83.0,,"Class: 10B, Subject: Chemistry, Score: 51%, Attendance: 91%, Overall avg: 83%, Subject avg: 51%.",Chemistry underperformance (51%) despite strong overall 83% average indicates specific subject difficulty. ACTION: 1) Hire specialized Chemistry tutor 2) Practice 30+ problems weekly in weak topics 3) Concept map creation for each Chemistry chapter 4) Monitor confidence levels 5) Adjust learning method if needed.
,,,,English,,,,,,,,,,subject_weakness,10A,53.0,78.0,79.0,,"Class: 10A, Subject: English, Score: 53%, Attendance: 78%, Overall avg: 79%, Subject avg: 53%.",Student performing well (79%) except English (53% average). Need English specialization. PLAN: 1) One-on-one English coaching 2) Identify exact weak topics 3) Step-by-step problem solving practice 4) Visual learning materials for English 5) Weekly check-ins to track English improvement.
,,,,Math,,,,,,,,,,no_risk,8B,82.0,90.0,86.0,,"Class: 8B, Subject: Math, Score: 82%, Attendance: 90%, Overall avg: 86%.",✅ Strong consistent Math performance (82%). Attendance excellent (90%). Continue current strategy! NEXT: 1) Advanced problem-solving practice 2) Subject competitions participation 3) Higher-order thinking activities 4) Consider this as strong subject for future focus.
,,,,Science,,,,,,,,,,no_risk,10B,76.0,94.0,80.0,,"Class: 10B, Subject: Science, Score: 76%, Attendance: 94%, Overall avg: 80%.",✅ Science performing at 76% - exactly where we want to see! Strong foundations with 94% attendance. SUGGESTIONS: 1) Introduce enrichment materials 2) Problem-solving challenges 3) Subject clubs participation 4) Consider as career-path indicator.
,,,,Physics,,,,,,,,,,no_risk,8B,90.0,94.0,89.0,,"Class: 8B, Subject: Physics, Score: 90%, Attendance: 94%, Overall avg: 89%.",✅ Physics mastery shown (90% with 94% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in Physics 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,Biology,,,,,,,,,,subject_weakness,10B,56.0,83.0,83.0,,"Class: 10B, Subject: Biology, Score: 56%, Attendance: 83%, Overall avg: 83%, Subject avg: 56%.",Biology underperformance (56%) despite strong overall 83% average indicates specific subject difficulty. ACTION: 1) Hire specialized Biology tutor 2) Practice 30+ problems weekly in weak topics 3) Concept map creation for each Biology chapter 4) Monitor confidence levels 5) Adjust learning method if needed.
,,,,Science,,,,,,,,,,sudden_drop,10A,54.0,57.0,,,"Class: 10A, Subject: Science, Score: 54% (previous: 73%), Attendance: 57%, Overall avg: 71%, Subject avg: 63%.",Sudden 19% drop in Science (73% to 54%)! This steep decline needs urgent action. STEPS: 1) Diagnose exact weak topic 2) Daily 30-minute focused practice 3) Tutoring support this week 4) Re-test in 5 days to check improvement.
,,,,Biology,,,,,,,,,,subject_weakness,10B,60.0,95.0,76.0,,"Class: 10B, Subject: Biology, Score: 60%, Attendance: 95%, Overall avg: 76%, Subject avg: 60%.",Strong overall student (76% average) but Biology is weak point (60%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated Biology tutor immediately 2) Daily Biology practice (minimum 45 minutes) 3) Group sessions focusing only on Biology 4) Weekly Biology-only assessments 5) Identify and fix conceptual gaps.
,,,,English,,,,,,,,,,subject_weakness,10B,60.0,82.0,88.0,,"Class: 10B, Subject: English, Score: 60%, Attendance: 82%, Overall avg: 88%, Subject avg: 60%.",Student excels generally (88% overall) but struggles in English (60% average). English seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified English materials 4) Bi-weekly progress tests 5) Peer mentoring in English.
,,,,Chemistry,,,,,,,,,,no_risk,8A,83.0,91.0,90.0,,"Class: 8A, Subject: Chemistry, Score: 83%, Attendance: 91%, Overall avg: 90%.",✅ Outstanding Chemistry achievement (83%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
,,,,Physics,,,,,,,,,,no_risk,8A,89.0,86.0,90.0,,"Class: 8A, Subject: Physics, Score: 89%, Attendance: 86%, Overall avg: 90%.",✅ Strong consistent Physics performance (89%). Attendance excellent (86%). Continue current strategy! NEXT: 1) Advanced problem-solving practice 2) Subject competitions participation 3) Higher-order thinking activities 4) Consider this as strong subject for future focus.
,,,,English,,,,,,,,,,sudden_drop,10B,62.0,52.0,,,"Class: 10B, Subject: English, Score: 62% (previous: 81%), Attendance: 52%, Overall avg: 78%, Subject avg: 71%.",Critical alert: English score plummeted (19% drop). Attendance is 52% - could be factor. MUST DO: 1) Parent-teacher meeting if attendance low 2) One-on-one tutoring immediately 3) Catch-up material and daily practice 4) Weekly follow-ups to ensure recovery.
,,,,Biology,,,,,,,,,,no_risk,9B,92.0,82.0,90.0,,"Class: 9B, Subject: Biology, Score: 92%, Attendance: 82%, Overall avg: 90%.",✅ Biology mastery shown (92% with 82% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in Biology 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,History,,,,,,,,,,no_risk,8A,81.0,87.0,79.0,,"Class: 8A, Subject: History, Score: 81%, Attendance: 87%, Overall avg: 79%.",✅ Excellent performance in History (81%). Keep up strong work! RECOMMENDATIONS: 1) Introduce advanced challenge problems 2) Expand to Olympic-level content 3) Peer tutoring for struggling classmates 4) Consider subject specialization for competitive exams.
,,,,History,,,,,,,,,,subject_weakness,10A,46.0,93.0,81.0,,"Class: 10A, Subject: History, Score: 46%, Attendance: 93%, Overall avg: 81%, Subject avg: 46%.",Student excels generally (81% overall) but struggles in History (46% average). History seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified History materials 4) Bi-weekly progress tests 5) Peer mentoring in History.
,,,,Physics,,,,,,,,,,no_risk,8A,87.0,98.0,94.0,,"Class: 8A, Subject: Physics, Score: 87%, Attendance: 98%, Overall avg: 94%.",✅ Outstanding Physics achievement (87%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
,,,,Physics,,,,,,,,,,sudden_drop,9B,66.0,61.0,,,"Class: 9B, Subject: Physics, Score: 66% (previous: 81%), Attendance: 61%, Overall avg: 85%, Subject avg: 73%.",Critical alert: Physics score plummeted (15% drop). Attendance is 61% - could be factor. MUST DO: 1) Parent-teacher meeting if attendance low 2) One-on-one tutoring immediately 3) Catch-up material and daily practice 4) Weekly follow-ups to ensure recovery.
,,,,Physics,,,,,,,,,,subject_weakness,8A,55.0,91.0,90.0,,"Class: 8A, Subject: Physics, Score: 55%, Attendance: 91%, Overall avg: 90%, Subject avg: 55%.",Student excels generally (90% overall) but struggles in Physics (55% average). Physics seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Physics materials 4) Bi-weekly progress tests 5) Peer mentoring in Physics.
,,,,History,,,,,,,,,,gradual_decline,10B,,71.0,,,"Class: 10B, Subject: History, Scores history: 86% → 78% → 68%. Attendance: 71%, Overall avg: 59%, Subject avg: 77%.",3-test History decline pattern: 86% → 78% → 68%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
,,,,Social Studies,,,,,,,,,,subject_weakness,8B,52.0,85.0,86.0,,"Class: 8B, Subject: Social Studies, Score: 52%, Attendance: 85%, Overall avg: 86%, Subject avg: 52%.",Student excels generally (86% overall) but struggles in Social Studies (52% average). Social Studies seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Social Studies materials 4) Bi-weekly progress tests 5) Peer mentoring in Social Studies.
,,,,Math,,,,,,,,,,no_risk,10A,90.0,97.0,89.0,,"Class: 10A, Subject: Math, Score: 90%, Attendance: 97%, Overall avg: 89%.",✅ Math mastery shown (90% with 97% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in Math 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,English,,,,,,,,,,no_risk,10A,78.0,92.0,77.0,,"Class: 10A, Subject: English, Score: 78%, Attendance: 92%, Overall avg: 77%.",✅ Outstanding English achievement (78%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
,,,,Biology,,,,,,,,,,sudden_drop,8A,61.0,64.0,,,"Class: 8A, Subject: Biology, Score: 61% (previous: 83%), Attendance: 64%, Overall avg: 72%, Subject avg: 72%.",Critical alert: Biology score plummeted (22% drop). Attendance is 64% - could be factor. MUST DO: 1) Parent-teacher meeting if attendance low 2) One-on-one tutoring immediately 3) Catch-up material and daily practice 4) Weekly follow-ups to ensure recovery.
,,,,Social Studies,,,,,,,,,,gradual_decline,8B,,80.0,,,"Class: 8B, Subject: Social Studies, Scores history: 87% → 80% → 68%. Attendance: 80%, Overall avg: 60%, Subject avg: 78%.",Downward trend in Social Studies: 87% → 80% → 68%. Student losing momentum. CORRECTIVE STEPS: 1) Increase practice frequency 2) Find study partner or tutor 3) Break complex topics into smaller parts 4) Daily revision schedule starting tomorrow 5) Re-motivate with positive reinforcement.
,,,,English,,,,,,,,,,no_risk,9B,95.0,95.0,94.0,,"Class: 9B, Subject: English, Score: 95%, Attendance: 95%, Overall avg: 94%.",✅ Strong consistent English performance (95%). Attendance excellent (95%). Continue current strategy! NEXT: 1) Advanced problem-solving practice 2) Subject competitions participation 3) Higher-order thinking activities 4) Consider this as strong subject for future focus.
,,,,Math,,,,,,,,,,sudden_drop,8A,64.0,83.0,,,"Class: 8A, Subject: Math, Score: 64% (previous: 86%), Attendance: 83%, Overall avg: 75%, Subject avg: 75%.",Math performance fell 22 points abruptly. This significant decline requires prompt intervention. ACTION PLAN: 1) Review recent Math lessons together 2) Create a focused study schedule 3) Arrange peer tutoring or additional support 4) Monitor next test carefully for improvement signs.
,,,,Chemistry,,,,,,,,,,sudden_drop,8B,45.0,77.0,,,"Class: 8B, Subject: Chemistry, Score: 45% (previous: 70%), Attendance: 77%, Overall avg: 48%, Subject avg: 57%.",Amit's Chemistry dropped 25 points suddenly (70% → 45%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,Math,,,,,,,,,,gradual_decline,10B,,62.0,,,"Class: 10B, Subject: Math, Scores history: 88% → 82% → 77%. Attendance: 62%, Overall avg: 87%, Subject avg: 82%.",Math scores declining steadily: 88% → 82% → 77%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,Biology,,,,,,,,,,subject_weakness,9A,59.0,81.0,84.0,,"Class: 9A, Subject: Biology, Score: 59%, Attendance: 81%, Overall avg: 84%, Subject avg: 59%.",Biology underperformance (59%) despite strong overall 84% average indicates specific subject difficulty. ACTION: 1) Hire specialized Biology tutor 2) Practice 30+ problems weekly in weak topics 3) Concept map creation for each Biology chapter 4) Monitor confidence levels 5) Adjust learning method if needed.
,,,,Chemistry,,,,,,,,,,no_risk,9A,83.0,80.0,93.0,,"Class: 9A, Subject: Chemistry, Score: 83%, Attendance: 80%, Overall avg: 93%.",✅ Strong consistent Chemistry performance (83%). Attendance excellent (80%). Continue current strategy! NEXT: 1) Advanced problem-solving practice 2) Subject competitions participation 3) Higher-order thinking activities 4) Consider this as strong subject for future focus.
,,,,Chemistry,,,,,,,,,,sudden_drop,10B,48.0,55.0,,,"Class: 10B, Subject: Chemistry, Score: 48% (previous: 73%), Attendance: 55%, Overall avg: 47%, Subject avg: 60%.",Chemistry 25% sudden drop with 55% attendance detected. INTERVENTION: 1) If attendance issue: mandatory attendance plan 2) If academic: intensive tutoring + daily practice 3) If personal: counseling referral 4) Reassess after 1 week.
,,,,Science,,,,,,,,,,gradual_decline,8A,,89.0,,,"Class: 8A, Subject: Science, Scores history: 82% → 71% → 62%. Attendance: 89%, Overall avg: 58%, Subject avg: 71%.",Science scores declining steadily: 82% → 71% → 62%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,Math,,,,,,,,,,subject_weakness,10B,52.0,91.0,86.0,,"Class: 10B, Subject: Math, Score: 52%, Attendance: 91%, Overall avg: 86%, Subject avg: 52%.",Strong overall student (86% average) but Math is weak point (52%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated Math tutor immediately 2) Daily Math practice (minimum 45 minutes) 3) Group sessions focusing only on Math 4) Weekly Math-only assessments 5) Identify and fix conceptual gaps.
,,,,Social Studies,,,,,,,,,,sudden_drop,10B,75.0,87.0,,,"Class: 10B, Subject: Social Studies, Score: 75% (previous: 91%), Attendance: 87%, Overall avg: 90%, Subject avg: 83%.",Critical alert: Social Studies score plummeted (16% drop). Attendance is 87% - could be factor. MUST DO: 1) Parent-teacher meeting if attendance low 2) One-on-one tutoring immediately 3) Catch-up material and daily practice 4) Weekly follow-ups to ensure recovery.
,,,,Chemistry,,,,,,,,,,no_risk,9B,79.0,88.0,83.0,,"Class: 9B, Subject: Chemistry, Score: 79%, Attendance: 88%, Overall avg: 83%.",✅ Outstanding Chemistry achievement (79%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
,,,,Math,,,,,,,,,,subject_weakness,10A,47.0,91.0,81.0,,"Class: 10A, Subject: Math, Score: 47%, Attendance: 91%, Overall avg: 81%, Subject avg: 47%.",Student performing well (81%) except Math (47% average). Need Math specialization. PLAN: 1) One-on-one Math coaching 2) Identify exact weak topics 3) Step-by-step problem solving practice 4) Visual learning materials for Math 5) Weekly check-ins to track Math improvement.
,,,,History,,,,,,,,,,gradual_decline,10A,,89.0,,,"Class: 10A, Subject: History, Scores history: 86% → 77% → 71%. Attendance: 89%, Overall avg: 64%, Subject avg: 78%.",3-test History decline pattern: 86% → 77% → 71%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
,,,,Social Studies,,,,,,,,,,gradual_decline,9A,,88.0,,,"Class: 9A, Subject: Social Studies, Scores history: 91% → 82% → 74%. Attendance: 88%, Overall avg: 77%, Subject avg: 82%.","Social Studies performance declining (91% → 82% → 74%). With 88% attendance, need to identify barriers. SOLUTION: 1) Review lecture notes missed (if attendance issue) 2) Intensive tutoring 3) Practice past papers 4) Check if personal/health issues affecting study."
,,,,History,,,,,,,,,,sudden_drop,9B,72.0,60.0,,,"Class: 9B, Subject: History, Score: 72% (previous: 92%), Attendance: 60%, Overall avg: 73%, Subject avg: 82%.",History performance fell 20 points abruptly. This significant decline requires prompt intervention. ACTION PLAN: 1) Review recent History lessons together 2) Create a focused study schedule 3) Arrange peer tutoring or additional support 4) Monitor next test carefully for improvement signs.
,,,,History,,,,,,,,,,gradual_decline,9A,,62.0,,,"Class: 9A, Subject: History, Scores history: 77% → 69% → 64%. Attendance: 62%, Overall avg: 64%, Subject avg: 70%.",Gradual History decline detected: 77% → 69% → 64%. Pattern shows consistent downward trend across 3 tests. ACTION: 1) Root cause analysis (fatigue? difficult content?) 2) Stop decline immediately through targeted practice 3) Weekly mini-tests to track recovery 4) Adjust study methods if current approach failing.
,,,,Science,,,,,,,,,,no_risk,10B,88.0,95.0,83.0,,"Class: 10B, Subject: Science, Score: 88%, Attendance: 95%, Overall avg: 83%.",✅ Outstanding Science achievement (88%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
,,,,Math,,,,,,,,,,sudden_drop,9B,57.0,90.0,,,"Class: 9B, Subject: Math, Score: 57% (previous: 77%), Attendance: 90%, Overall avg: 57%, Subject avg: 67%.",Amit's Math dropped 20 points suddenly (77% → 57%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,Social Studies,,,,,,,,,,subject_weakness,8A,55.0,83.0,88.0,,"Class: 8A, Subject: Social Studies, Score: 55%, Attendance: 83%, Overall avg: 88%, Subject avg: 55%.",Clear strength-weakness pattern: 88% average overall but only 55% in Social Studies. Social Studies is holding back potential. CORRECTIVE MEASURES: 1) Immediate Social Studies tutoring start 2) Master fundamentals first 3) Daily 20-30 min focused practice 4) Problem-solving competitions to build confidence 5) Re-test after 2 weeks.
,,,,English,,,,,,,,,,gradual_decline,8B,,79.0,,,"Class: 8B, Subject: English, Scores history: 76% → 66% → 60%. Attendance: 79%, Overall avg: 62%, Subject avg: 67%.",English scores declining steadily: 76% → 66% → 60%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,Chemistry,,,,,,,,,,no_risk,8A,87.0,91.0,82.0,,"Class: 8A, Subject: Chemistry, Score: 87%, Attendance: 91%, Overall avg: 82%.",✅ Chemistry mastery shown (87% with 91% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in Chemistry 3) Mentoring weaker students 4) Competitive exam preparation.
